what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1516635658752
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1516635658752
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1516635658768
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1516635658782
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1516635658786
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1516635658792
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1516635658795
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1516635658800
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1516635658802
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1516635658802
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1516635658805
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1516635658806
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1516635658807
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1516635658808
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1516635658809
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1516635658811
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1516635658813
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1516635658814
os,sysinfo,,,"macosx",1516635658820
arch,sysinfo,,,"x86_64",1516635658820
ws,sysinfo,,,"cocoa",1516635658820
locale,sysinfo,,,"en_GB",1516635658820
processors,sysinfo,,,"4",1516635658820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1516635658820
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468",1516635658820
java.specification.name,sysinfo,,,"Java Platform API Specification",1516635658820
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1516635658820
java.specification.version,sysinfo,,,"1.6",1516635658820
java.vendor,sysinfo,,,"Apple Inc.",1516635658820
java.version,sysinfo,,,"1.6.0_65",1516635658820
java.vm.info,sysinfo,,,"mixed mode",1516635658820
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1516635658820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516635658820
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1516635658820
java.vm.specification.version,sysinfo,,,"1.0",1516635658820
java.vm.vendor,sysinfo,,,"Apple Inc.",1516635658820
java.vm.version,sysinfo,,,"20.65-b04-468",1516635658820
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1516635658821
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1516635658868
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1516635658896
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1516635658997
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1516635659030
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1516635659053
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1516635659201
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1516635659316
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1516635659318
